,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,ornskoldsvik,100,SE,1586638201,93,35.6,63.29,18.72,6.93
1,mukhen,0,RU,1586638201,75,32.27,48.1,136.1,4.92
2,hithadhoo,0,MV,1586638081,65,84.56,-0.6,73.08,6.38
3,kikwit,76,CD,1586638201,78,73.67,-5.04,18.82,1.12
4,vao,27,NC,1586638127,74,76.19,-22.67,167.48,15.46
5,georgetown,20,MY,1586638143,88,82.4,5.41,100.34,3.36
6,hobart,75,AU,1586638037,71,51.01,-42.88,147.33,2.24
7,port elizabeth,89,ZA,1586638202,63,60.8,-33.92,25.57,6.93
8,tasiilaq,72,GL,1586638202,50,30.2,65.61,-37.64,9.17
9,yellowknife,20,CA,1586638202,52,17.6,62.46,-114.35,13.87
10,kavieng,99,PG,1586638202,73,83.55,-2.57,150.8,4.92
11,hasaki,75,JP,1586638108,100,45.0,35.73,140.83,5.82
12,bredasdorp,100,ZA,1586638202,68,69.01,-34.53,20.04,5.82
13,bluff,100,NZ,1586638203,69,55.0,-46.6,168.33,4.0
14,may pen,20,JM,1586638203,70,87.8,17.96,-77.25,19.46
15,gidam,0,IN,1586638203,23,75.63,18.98,81.4,1.52
16,canico,75,PT,1586638203,77,62.6,32.63,-16.85,13.87
17,busselton,96,AU,1586638203,62,71.01,-33.65,115.33,8.14
18,rikitea,78,PF,1586638203,74,77.04,-23.12,-134.97,1.34
19,vaini,20,TO,1586638203,78,75.2,-21.2,-175.2,2.24
20,ahipara,90,NZ,1586638088,77,65.52,-35.17,173.17,14.65
21,kodiak,90,US,1586638125,75,41.0,57.79,-152.41,17.22
22,sao filipe,86,CV,1586638111,73,75.61,14.9,-24.5,12.48
23,barrow,90,US,1586638204,84,3.2,71.29,-156.79,10.29
24,ushuaia,75,AR,1586638204,70,44.6,-54.8,-68.3,27.51
25,qaanaaq,91,GL,1586638204,75,14.05,77.48,-69.36,2.35
26,mala vyska,12,UA,1586638204,60,40.77,48.64,31.64,9.04
27,guatire,81,VE,1586638204,28,88.0,10.48,-66.54,7.0
28,avarua,96,CK,1586638204,83,84.2,-21.21,-159.78,6.93
29,guerrero negro,10,MX,1586637966,49,67.06,27.98,-114.06,17.31
30,lavrentiya,94,RU,1586638205,98,31.35,65.58,-171.0,11.3
31,kapaa,40,US,1586638066,69,79.0,22.08,-159.32,6.93
32,kaitangata,92,NZ,1586638205,93,52.0,-46.28,169.85,1.99
33,makakilo city,1,US,1586638139,69,82.4,21.35,-158.09,5.82
34,hay river,40,CA,1586637955,57,17.6,60.82,-115.8,8.05
35,castro,13,BR,1586638205,66,60.94,-24.79,-50.01,2.33
36,comodoro rivadavia,0,AR,1586638179,31,64.4,-45.87,-67.5,13.87
37,nikolskoye,5,RU,1586638112,92,30.2,59.7,30.79,4.47
38,gizo,99,SB,1586638206,78,82.36,-8.1,156.84,6.38
39,noyabrsk,100,RU,1586637993,95,35.49,63.2,75.45,16.13
40,pedro ii,98,BR,1586638206,82,72.82,-4.42,-41.46,3.4
41,langres,0,FR,1586638206,62,62.01,47.83,5.33,2.24
42,luderitz,0,NA,1586638206,100,55.4,-26.65,15.16,11.41
43,bengkulu,37,ID,1586638206,81,78.55,-3.8,102.27,3.58
44,tukrah,31,LY,1586638206,75,57.79,32.53,20.58,5.99
45,sorland,100,NO,1586638216,78,35.38,67.67,12.69,12.19
46,jamame,98,SO,1586638217,76,83.23,0.07,42.75,6.91
47,palauig,3,PH,1586638217,75,79.18,15.44,119.9,5.57
48,urengoy,100,RU,1586637955,98,35.83,65.97,78.37,16.73
49,cidreira,4,BR,1586638068,67,67.53,-30.18,-50.21,7.14
50,souillac,75,MU,1586638109,83,78.01,-20.52,57.52,16.11
51,khatanga,32,RU,1586638217,93,-1.05,71.97,102.5,8.01
52,namibe,0,AO,1586638217,61,77.59,-15.2,12.15,3.62
53,mar del plata,37,AR,1586638052,56,71.01,-38.0,-57.56,12.75
54,penzance,0,GB,1586638100,71,55.4,50.12,-5.54,11.41
55,arraial do cabo,75,BR,1586638217,88,71.6,-22.97,-42.03,4.7
56,tucuman,40,AR,1586638143,47,78.8,-26.82,-65.22,11.41
57,muzhi,15,RU,1586638218,93,17.67,65.37,64.67,6.31
58,cape town,75,ZA,1586637934,93,64.99,-33.93,18.42,18.34
59,jakar,40,BT,1586638218,32,39.61,27.55,90.75,3.4
60,raudeberg,100,NO,1586638218,100,46.0,61.99,5.14,21.92
61,jieshi,43,CN,1586638218,72,63.88,22.81,115.83,15.57
62,mataura,100,NZ,1586638218,70,55.0,-46.19,168.86,3.0
63,campina verde,5,BR,1586638218,62,72.1,-19.54,-49.49,4.68
64,nanortalik,100,GL,1586638218,72,37.58,60.14,-45.24,28.25
65,cherskiy,100,RU,1586638219,96,13.78,68.75,161.3,12.44
66,punta arenas,40,CL,1586638219,61,48.2,-53.15,-70.92,19.46
67,atuona,64,PF,1586638219,68,82.8,-9.8,-139.03,7.47
68,saint george,1,US,1586638219,36,69.01,37.1,-113.58,4.7
69,trojanovice,1,CZ,1586638219,49,48.2,49.52,18.24,1.12
70,jamestown,1,US,1586638193,48,48.99,42.1,-79.24,14.99
71,salalah,40,OM,1586638126,74,82.4,17.02,54.09,10.29
72,asau,59,RO,1586638220,48,45.0,46.43,26.4,3.36
73,ilulissat,75,GL,1586638220,68,30.2,69.22,-51.1,10.29
74,san patricio,20,MX,1586638074,74,86.0,19.22,-104.7,17.22
75,sobolevo,0,RU,1586638220,82,32.41,54.43,31.9,5.91
76,yola,99,NG,1586638220,23,84.83,9.2,12.48,3.94
77,westport,75,US,1586638220,23,55.99,41.14,-73.36,13.87
78,margate,34,GB,1586638103,81,60.01,51.38,1.39,4.7
79,northam,0,GB,1586638220,79,57.0,51.03,-4.22,1.01
80,poronaysk,82,RU,1586638221,90,26.04,49.22,143.12,3.02
81,laguna,75,US,1586638117,72,68.0,38.42,-121.42,9.17
82,chiredzi,86,ZW,1586638221,58,68.23,-21.05,31.67,3.18
83,galesong,20,ID,1586638221,94,77.0,-5.32,119.37,6.93
84,lillooet,1,CA,1586638221,17,53.6,50.69,-121.94,14.99
85,san agustin,40,MX,1586638221,13,90.0,20.53,-103.47,23.04
86,rocha,73,UY,1586638166,73,65.37,-34.48,-54.33,6.08
87,karratha,0,AU,1586638221,50,81.37,-20.74,116.85,8.28
88,balasheyka,100,RU,1586638222,61,42.22,53.28,48.09,8.88
89,saint-philippe,33,RE,1586638222,78,73.4,-21.36,55.77,5.82
90,shieli,48,KZ,1586638232,40,59.61,44.17,66.75,5.95
91,tuktoyaktuk,90,CA,1586638081,84,1.4,69.45,-133.04,6.93
92,faanui,56,PF,1586638232,77,82.6,-16.48,-151.75,12.66
93,hermanus,100,ZA,1586638232,71,69.01,-34.42,19.23,11.01
94,nadvoitsy,20,RU,1586638232,94,25.43,63.87,34.32,4.76
95,albany,75,US,1586638232,42,48.99,42.6,-73.97,14.99
96,visnes,79,NO,1586638232,93,46.4,59.36,5.22,10.29
97,puerto rondon,56,CO,1586638233,49,91.06,6.28,-71.1,6.6
98,bonavista,25,CA,1586638233,67,37.99,48.65,-53.11,15.99
99,sept-iles,75,CA,1586637964,33,42.8,50.2,-66.38,17.22
100,ahuimanu,20,US,1586638233,54,82.4,21.44,-157.84,5.82
101,bucuresci,15,RO,1586638233,56,45.3,46.13,22.9,2.1
102,menongue,68,AO,1586638233,64,63.03,-14.66,17.69,3.67
103,lompoc,20,US,1586638233,77,71.01,34.64,-120.46,17.22
104,galich,94,RU,1586638234,89,28.38,58.38,42.35,6.42
105,tuatapere,81,NZ,1586638234,70,55.0,-46.13,167.68,3.0
106,isla mujeres,40,MX,1586638234,58,87.8,21.23,-86.73,18.34
107,oranjemund,27,NA,1586638234,92,59.38,-28.55,16.43,1.83
108,severo-kurilsk,63,RU,1586638234,93,29.23,50.68,156.12,8.57
109,salacgriva,93,LV,1586638234,82,34.0,57.75,24.36,1.01
110,lebu,0,CL,1586638085,55,57.85,-37.62,-73.65,16.91
111,mount gambier,90,AU,1586638234,71,51.8,-37.83,140.77,6.93
112,dikson,100,RU,1586638234,96,14.29,73.51,80.55,10.11
113,novorzhev,82,RU,1586638234,80,35.15,57.03,29.33,4.9
114,butaritari,95,KI,1586638235,76,83.98,3.07,172.79,13.35
115,new norfolk,75,AU,1586638235,57,51.8,-42.78,147.06,8.05
116,lata,75,PT,1586638235,87,59.0,40.16,-8.33,6.93
117,lagoa,0,PT,1586638235,75,61.66,39.05,-27.98,10.47
118,mandera,35,KE,1586638235,10,82.99,3.94,41.87,3.0
119,pisco,0,PE,1586638109,30,75.0,-13.7,-76.22,8.05
120,rabo de peixe,20,PT,1586638235,72,59.0,37.8,-25.58,13.87
121,chokurdakh,99,RU,1586638236,98,27.21,70.63,147.92,13.85
122,walvis bay,0,NA,1586638236,77,70.0,-22.96,14.51,1.99
123,gorom-gorom,18,BF,1586638236,19,90.16,14.44,-0.24,10.85
124,bukachacha,0,RU,1586638236,54,36.46,52.98,116.92,1.45
125,minna,100,NG,1586638236,55,87.8,9.61,6.56,4.7
126,santa cruz del sur,0,CU,1586638236,53,88.79,20.71,-78.0,11.3
127,russkaya polyana,0,UA,1586638236,63,40.75,49.42,31.92,10.85
128,chamba,21,IN,1586638237,20,61.05,32.57,76.13,9.35
129,lyngseidet,75,NO,1586638166,94,32.0,69.58,20.22,21.92
130,vila velha,75,BR,1586638237,83,78.01,-20.33,-40.29,9.17
131,kaspiysk,18,RU,1586638028,81,48.2,42.88,47.64,8.95
132,carutapera,100,BR,1586638237,86,81.18,-1.2,-46.02,9.6
133,haines junction,0,CA,1586638237,63,33.39,60.75,-137.51,1.68
134,urumqi,70,CN,1586638237,49,48.2,43.8,87.6,4.47
135,sao jose da coroa grande,1,BR,1586638237,74,82.15,-8.9,-35.15,9.1
136,leningradskiy,94,RU,1586638248,87,12.81,69.38,178.42,3.98
137,cabra,97,ES,1586638248,55,63.0,37.47,-4.44,8.05
138,fairbanks,1,US,1586638220,47,37.4,64.84,-147.72,8.05
139,muros,75,ES,1586638248,93,57.0,42.78,-9.06,6.93
140,weyburn,65,CA,1586638248,39,34.0,49.67,-103.85,18.99
141,swellendam,100,ZA,1586638248,68,68.0,-34.02,20.44,5.82
142,chaplygin,71,RU,1586638248,68,28.4,53.24,39.96,6.71
143,namatanai,100,PG,1586638248,76,82.02,-3.67,152.43,3.67
144,ponta do sol,75,PT,1586638248,77,60.8,32.67,-17.1,13.87
145,san andres,40,CO,1586638249,70,87.8,12.58,-81.7,14.99
146,doha,100,QA,1586638095,54,87.8,25.29,51.53,3.36
147,inta,13,RU,1586638078,94,14.36,66.03,60.17,5.99
148,east london,94,ZA,1586638249,67,74.39,-33.02,27.91,3.02
149,mossendjo,100,CG,1586638249,86,71.31,-2.95,12.73,2.48
150,port hardy,20,CA,1586638249,70,48.2,50.7,-127.42,3.36
151,san juan,96,AR,1586638243,28,77.94,-31.54,-68.54,11.74
152,selma,83,US,1586638249,68,70.0,36.57,-119.61,2.98
153,avera,1,US,1586638250,31,75.99,33.19,-82.53,5.82
154,manaure,40,CO,1586638250,70,87.8,11.78,-72.44,11.41
155,ribeira grande,20,PT,1586638088,77,62.6,38.52,-28.7,3.36
156,san cristobal,40,VE,1586638082,41,93.2,7.77,-72.22,23.04
157,zhangjiakou,0,CN,1586638250,38,41.32,40.81,114.88,7.76
158,batavia,90,US,1586638250,36,64.99,41.85,-88.31,9.17
159,senno,2,RU,1586638250,97,27.28,59.53,33.92,1.52
160,touros,20,BR,1586638250,74,84.2,-5.2,-35.46,10.29
161,pudozh,0,RU,1586638250,92,26.06,61.81,36.53,1.86
162,kaeo,73,NZ,1586638251,94,60.01,-35.1,173.78,12.71
163,kosonsoy,100,UZ,1586638251,57,53.38,41.26,71.55,5.26
164,torbay,75,CA,1586638251,55,39.99,47.67,-52.73,27.51
165,gamba,100,GA,1586638251,87,77.65,-2.65,10.0,5.21
166,bathsheba,20,BB,1586638251,62,84.2,13.22,-59.52,13.87
167,tomatlan,82,MX,1586638251,29,89.98,19.93,-105.25,14.7
168,pacific grove,90,US,1586638251,71,66.0,36.62,-121.92,6.93
169,dubovskoye,0,RU,1586638251,66,41.41,47.41,42.76,9.51
170,ducheng,20,CN,1586638251,79,53.89,23.24,111.53,4.99
171,narsaq,100,GL,1586638252,26,48.2,60.92,-46.05,36.91
172,hauterive,10,FR,1586638252,42,62.6,46.09,3.45,3.36
173,shu,99,KZ,1586638252,45,51.67,43.6,73.76,2.08
174,saldanha,98,ZA,1586638252,88,62.6,-33.01,17.94,11.41
175,xuanzhou,2,CN,1586638252,88,43.27,30.95,118.76,10.0
176,wodonga,0,AU,1586638252,93,42.01,-36.12,146.88,2.59
177,shelopugino,0,RU,1586638252,44,38.25,51.65,117.56,3.91
178,mata,99,PT,1586638252,91,55.99,40.68,-7.46,1.01
179,praia da vitoria,20,PT,1586638252,77,64.4,38.73,-27.07,11.27
180,batagay-alyta,100,RU,1586638252,87,19.9,67.8,130.41,3.8
181,tura,0,IN,1586638253,32,72.18,25.52,90.22,4.45
182,kovdor,76,RU,1586638253,93,22.14,67.57,30.48,5.08
183,binabalian,1,PH,1586638253,72,81.01,16.42,119.93,5.01
184,labuan,75,MY,1586638263,100,80.6,5.28,115.24,1.25
185,esperance,98,AU,1586638263,64,68.0,-33.87,121.9,19.46
186,nivala,97,FI,1586638263,61,26.01,63.92,24.97,3.22
187,lorengau,58,PG,1586638264,75,82.27,-2.02,147.27,1.25
188,road town,1,VG,1586638142,66,84.2,18.42,-64.62,8.05
189,actopan,17,MX,1586638264,9,84.92,20.27,-98.93,4.99
190,clyde river,75,CA,1586638264,84,6.8,70.47,-68.59,14.99
191,kavaratti,0,IN,1586638264,68,84.34,10.57,72.64,3.31
192,saskylakh,19,RU,1586638264,90,0.82,71.92,114.08,14.94
193,katsuura,75,JP,1586638264,93,50.0,35.13,140.3,14.99
194,upernavik,100,GL,1586638265,89,20.88,72.79,-56.15,0.98
195,harda,0,IN,1586638265,15,83.91,22.33,77.1,1.28
196,at-bashi,94,KG,1586638265,25,44.19,41.17,75.81,2.44
197,juneau,20,US,1586638265,35,42.8,58.3,-134.42,8.05
198,chifeng,0,CN,1586638265,43,41.54,42.27,118.96,7.16
199,chuy,33,UY,1586638265,66,65.95,-33.7,-53.46,7.0
200,puerto ayora,75,EC,1586638266,66,86.0,-0.74,-90.35,11.41
201,coihaique,40,CL,1586638266,53,51.8,-45.58,-72.07,5.82
202,saint-francois,19,FR,1586638266,58,60.01,46.42,3.91,0.87
203,ankang,0,CN,1586638266,46,47.21,32.68,109.02,0.36
204,lincoln,1,US,1586638206,37,71.6,40.8,-96.67,4.7
205,basco,92,PH,1586638266,76,76.82,20.45,121.97,15.7
206,victoria,40,HK,1586638105,72,66.99,22.29,114.16,16.11
207,vestmannaeyjar,100,IS,1586638267,90,43.77,63.44,-20.27,11.3
208,harper,97,LR,1586638267,80,81.25,4.38,-7.72,4.03
209,bethel,75,US,1586638267,27,54.0,41.37,-73.41,10.29
210,ancud,20,CL,1586638267,62,53.6,-41.87,-73.82,4.7
211,bethanien,0,NA,1586638267,16,74.68,-26.5,17.16,19.44
212,helong,0,CN,1586638267,80,30.94,42.54,129.0,1.39
213,hilo,1,US,1586638268,61,82.4,19.73,-155.09,5.82
214,sechura,36,PE,1586638268,62,80.06,-5.56,-80.82,12.86
215,cabo san lucas,75,MX,1586638268,55,78.01,22.89,-109.91,20.8
216,porto velho,75,BR,1586638192,78,82.4,-8.76,-63.9,4.7
217,chernyshevskiy,98,RU,1586638268,95,24.35,63.01,112.47,8.01
218,vila franca do campo,20,PT,1586638268,72,59.0,37.72,-25.43,13.87
219,vardo,61,NO,1586638268,89,27.61,70.37,31.11,4.99
220,codrington,98,AU,1586638269,71,53.02,-38.27,141.97,11.23
221,crowley,75,US,1586638269,61,80.6,30.21,-92.37,13.87
222,vestmanna,100,FO,1586638269,93,44.6,62.16,-7.17,16.11
223,klaksvik,100,FO,1586638269,93,44.6,62.23,-6.59,16.11
224,pacifica,90,US,1586638269,87,68.0,37.61,-122.49,4.7
225,tiznit,99,MA,1586638269,70,59.23,29.58,-9.5,3.91
226,port alfred,77,ZA,1586638269,93,68.0,-33.59,26.89,3.0
227,emerald,0,AU,1586638098,52,66.2,-23.53,148.17,4.7
228,garissa,100,KE,1586638270,65,81.68,-0.45,39.64,16.84
229,kostomuksha,2,RU,1586638270,94,21.69,64.57,30.58,4.27
230,olafsvik,60,IS,1586638280,79,37.24,64.89,-23.71,28.39
231,caucaia,20,BR,1586638280,66,86.0,-3.74,-38.65,9.17
232,mahebourg,75,MU,1586638281,83,78.01,-20.41,57.7,16.11
233,mehamn,85,NO,1586638281,92,20.98,71.04,27.85,4.47
234,xam nua,56,LA,1586638281,72,64.85,20.42,104.04,3.36
235,thunder bay,75,CA,1586638203,29,51.8,48.4,-89.32,16.11
236,sitka,20,US,1586638281,56,42.8,57.05,-135.33,5.82
237,bairiki,40,KI,1586638281,79,84.2,1.33,172.98,6.93
238,karmala,73,IN,1586638281,21,83.37,18.42,75.2,1.61
239,general pico,28,AR,1586638086,41,74.35,-35.66,-63.76,9.31
240,zhob,71,PK,1586638281,32,67.57,31.34,69.45,4.81
241,kalawit,2,PH,1586638282,72,74.03,8.07,122.52,2.55
242,churapcha,100,RU,1586638282,97,28.63,62.0,132.43,6.6
243,hohhot,0,CN,1586638282,30,30.2,40.81,111.65,4.47
244,harrisburg,20,US,1586638162,28,57.2,40.27,-76.88,6.93
245,sayville,20,US,1586637995,23,55.0,40.74,-73.08,19.46
246,umm lajj,1,SA,1586638283,51,69.55,25.02,37.27,7.45
247,mega,1,ET,1586638283,50,64.13,4.05,38.3,9.44
248,turan,40,VN,1586638283,88,78.8,16.07,108.22,1.74
249,hami,54,CN,1586638283,21,54.34,42.8,93.45,4.45
250,maine-soroa,93,NE,1586638283,14,82.83,13.21,12.02,8.52
251,bolobo,63,CD,1586638283,74,77.63,-2.17,16.23,2.17
252,cockburn town,0,TC,1586638284,69,80.69,21.46,-71.14,10.11
